-2.497,-0.90925,-0.24454,-0.17391,-0.24376,-0.43277,-2.1971,-1.5501,-1.342,-0.44735,0.029983,-0.86952
-4.0191,-2.628,-1.6216,-1.6695,-1.3814,-2.7446,-3.6206,-1.5509,-1.354,-1.2354,-1.6766,-0.38456
-2.0389,-0.10038,-1.261,-0.82014,0.6434,-0.264,-4.4112,-3.2243,-1.8241,-1.5811,-1.6292,-1.3936
-2.314,-0.74106,-1.9189,-2.1613,-0.39132,-0.43328,-1.8017,-2.1052,-2.5731,-2.6199,-1.9008,-2.7617
-0.94107,-1.2887,-0.56131,0.12638,-0.35453,0.37014,-1.5308,-2.2538,-1.2434,-1.5095,-0.83853,-0.36159
-2.0397,-1.498,-0.49251,-0.7119,-0.63818,-0.14414,-1.946,-1.5938,-0.951,-0.30162,-0.8867,-1.276
-0.68542,0.73244,0.36906,0.67331,-0.82608,0.21061,-3.0473,-1.794,-2.8381,-1.0309,-1.7616,-0.96919
-1.6195,-2.3009,-1.8431,-1.0091,-0.74434,-2.9288,-1.8091,-0.67909,-2.7534,-1.5563,-0.33468,-0.97565
-2.3721,-2.1962,-1.3297,-0.39771,-0.47937,-1.1112,-3.9742,-3.2624,-1.3255,-2.0185,-0.60287,-0.36663
-3.2978,-1.9113,-2.7152,-0.37489,-0.42637,-0.62691,-5.1285,-5.9969,-5.8472,-2.3989,-2.7392,-3.529
-1.0111,-0.95926,-0.73112,-0.40436,-0.077593,0.37967,-1.3935,0.24208,-0.22851,-0.5996,-1.0356,-0.77537
-0.5809,1.0328,0.18003,-0.24475,1.3695,0.34277,-1.9697,-1.2538,-0.58095,-0.55905,-0.093795,-0.53819
-2.106,-0.61908,-2.1162,-1.4968,-1.299,-0.95799,-3.3985,-1.6029,-1.9063,-2.5217,-0.61071,-1.939
0,0,0,0,0,0,0,0,0,0,0,0
0.62925,0.60666,0.41841,0.48408,0.4753,0.53495,0.49556,0.55396,0.62058,0.52944,0.63228,0.57734
0.91392,0.97507,1.0702,0.98928,0.99649,0.97423,1.2181,1.154,0.83423,1.0562,1.1005,1.1724
0.98924,1.0209,1.6512,1.0866,0.66178,0.65335,1.3211,1.0782,0.91964,0.88581,1.3881,1.2965
1.5669,1.4617,1.6815,1.5602,1.2988,1.4281,1.9108,1.6847,1.6811,1.6574,1.5962,1.7964
0.38551,0.45736,0.4047,0.4467,0.5615,0.44844,0.98118,0.67237,0.71578,0.80974,0.62214,0.74001
0.66153,0.50368,0.5745,0.48782,0.69485,0.59831,0.78723,0.65925,0.76743,0.68208,0.82864,1.2592
1.1078,0.85511,0.73337,0.61845,0.76731,0.70882,1.225,0.92294,0.88267,0.72955,0.72137,0.65048
1.4716,0.5794,0.44919,0.5846,0.79764,0.91896,0.94557,1.1235,1.1331,1.2638,0.79009,0.68248
0.59983,0.81361,0.66909,0.52547,0.53664,0.57554,0.95698,1.1157,1.5168,1.281,1.4921,1.6532
NaN,0.88433,1.1826,0.64738,0.74495,0.78987,0.79521,0.83406,0.77803,0.51693,1.2525,0.91279
2.0442,1.9893,2.004,NaN,1.9649,2.099,0.38152,0.87915,0.64616,0.77832,0.51958,0.58135
0.70708,0.78174,0.72819,0.52201,0.56586,0.61306,1.0671,0.779,0.8879,0.81483,0.72632,0.76922
0.62031,0.81255,0.77993,0.72089,0.47967,0.41376,1.1062,0.73891,0.63903,0.80551,0.70472,0.7018
